2018-11-23T16:04:50.264+0000|UNKNOWN|_system_|access-admin|jfrt@01cx0n20vb20a80ftpy2pe0wzj|C|TKN|{"added":{"owner":"jfac@01cx0n0yvq4y3g022a414c0q3q","created":"1542989090152","subject":"jfrt@01cx0n20vb20a80ftpy2pe0wzj","expiry":"2489069090152","id":"c55228d9-5a12-4ada-9d9d-b0ef917e3b1a"}}
2018-11-23T16:04:52.340+0000|UNKNOWN|_system_|jfrt@01cx0n20vb20a80ftpy2pe0wzj|admin|C|USR|{"added":{"customData.updatable_profile":"true","password":"*","allowedIps":"[*]","realm":"internal","customData.artifactory_admin":"true","email":"","status":"enabled","username":"admin"}}
2018-11-23T16:04:52.371+0000|UNKNOWN|_system_|jfrt@01cx0n20vb20a80ftpy2pe0wzj|anonymous|C|USR|{"added":{"allowedIps":"[*]","realm":"internal","status":"enabled","username":"anonymous"}}
2018-11-23T16:04:52.429+0000|UNKNOWN|_system_|jfrt@01cx0n20vb20a80ftpy2pe0wzj|readers|C|GRP|{"added":{"autoJoin":"true","name":"readers","description":"A group for read-only users","realm":"internal"}}
2018-11-23T16:04:52.548+0000|UNKNOWN|_system_|jfrt@01cx0n20vb20a80ftpy2pe0wzj|jfrt@01cx0n20vb20a80ftpy2pe0wzj:Anything|C|PRM|{"added":{"actions.readers(GROUP):r":"readers(GROUP):r","customData.includePattern":"**","customData.updatedBy":"_system_","displayName":"Anything","name":"jfrt@01cx0n20vb20a80ftpy2pe0wzj:Anything","customData.excludePattern":"","actions.anonymous(USER):r":"anonymous(USER):r","serviceId":"jfrt@01cx0n20vb20a80ftpy2pe0wzj","resourceType":"repo"}}
2018-11-23T16:04:52.598+0000|UNKNOWN|_system_|jfrt@01cx0n20vb20a80ftpy2pe0wzj|jfrt@01cx0n20vb20a80ftpy2pe0wzj:Any Remote|C|PRM|{"added":{"customData.includePattern":"**","customData.updatedBy":"_system_","displayName":"Any Remote","name":"jfrt@01cx0n20vb20a80ftpy2pe0wzj:Any Remote","customData.excludePattern":"","actions.anonymous(USER):r":"anonymous(USER):r","serviceId":"jfrt@01cx0n20vb20a80ftpy2pe0wzj","actions.anonymous(USER):w":"anonymous(USER):w","resourceType":"repo"}}
2018-11-23T16:04:54.607+0000|UNKNOWN|_system_|jfrt@01cx0n20vb20a80ftpy2pe0wzj|_internal|C|USR|{"added":{"allowedIps":"[*]","groups.readers":"UserGroupImpl(name=readers, realm=internal)","realm":"internal","email":"","status":"enabled","username":"_internal"}}
2018-11-23T16:04:55.114+0000|UNKNOWN|_system_|jfrt@01cx0n20vb20a80ftpy2pe0wzj|_internal|U|USR|{"removed":{"groups.readers":"UserGroupImpl(name=readers, realm=internal)"},"updated":{"password":{"oldEntry":"*","newEntry":"*"},"email":{"oldEntry":"","newEntry":""}}}
2018-11-23T16:04:55.336+0000|UNKNOWN|_system_|jfrt@01cx0n20vb20a80ftpy2pe0wzj|_internal|U|USR|{"updated":{"customData.apiKey":{"newEntry":"*"}}}
2018-11-23T16:09:56.170+0000|UNKNOWN|_system_|jfrt@01cx0n20vb20a80ftpy2pe0wzj|_internal|U|USR|{"updated":{"password":{"oldEntry":"*","newEntry":"*"},"customData.apiKey_shash":{"newEntry":"*"},"customData.apiKey":{"oldEntry":"*","newEntry":"*"}}}
2018-11-24T19:22:30.901+0000|192.168.33.171|admin|jfrt@01cx0n20vb20a80ftpy2pe0wzj|admin|U|USR|{"updated":{"customData.private_key":{"newEntry":"*"},"customData.public_key":{"newEntry":"*"}}}
2018-11-24T21:00:02.582+0000|UNKNOWN|_system_|jfrt@01cx0n20vb20a80ftpy2pe0wzj|_internal|U|USR|{"updated":{"password":{"oldEntry":"*","newEntry":"*"},"customData.apiKey_shash":{"oldEntry":"*","newEntry":"*"},"customData.apiKey":{"oldEntry":"*","newEntry":"*"}}}
2018-12-02T08:57:09.196+0000|UNKNOWN|_system_|jfrt@01cx0n20vb20a80ftpy2pe0wzj|_internal|U|USR|{"updated":{"password":{"oldEntry":"*","newEntry":"*"},"customData.apiKey_shash":{"oldEntry":"*","newEntry":"*"},"customData.apiKey":{"oldEntry":"*","newEntry":"*"}}}
2018-12-11T11:50:17.349+0000|UNKNOWN|_system_|jfrt@01cx0n20vb20a80ftpy2pe0wzj|_internal|U|USR|{"updated":{"password":{"oldEntry":"*","newEntry":"*"},"customData.apiKey_shash":{"oldEntry":"*","newEntry":"*"},"customData.apiKey":{"oldEntry":"*","newEntry":"*"}}}
